Source,Target,Weight
house_housingitem_buff_fishing_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_fishing_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_fishing_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_fishing_bonus_t3,house_housingitem_fishing_veryrarefish_c1,"('Taxidermied Daemonaja', 1)"
house_housingitem_buff_fishing_bonus_t3,house_housingitem_buff_fishing_bonus_t2,"('Basic Fishing Gathering Trophy', 1)"
house_housingitem_buff_harvesting_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_harvesting_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_harvesting_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_harvesting_bonus_t3,mercurialtokent1,"('Mercurial Token', 1)"
house_housingitem_buff_harvesting_bonus_t3,house_housingitem_buff_harvesting_bonus_t2,"('Basic Harvesting Gathering Trophy', 1)"
house_housingitem_buff_logging_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_logging_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_logging_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_logging_bonus_t3,pureresint1,"('Pure Resin', 1)"
house_housingitem_buff_logging_bonus_t3,house_housingitem_buff_logging_bonus_t2,"('Basic Logging Gathering Trophy', 1)"
house_housingitem_buff_luck_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_luck_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_luck_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_luck_bonus_t3,loadeddicet1,"('Loaded Dice', 1)"
house_housingitem_buff_luck_bonus_t3,house_housingitem_buff_luck_bonus_t2,"('Basic Loot Luck Trophy', 1)"
house_housingitem_buff_damage_vs_lost_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_damage_vs_lost_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_damage_vs_lost_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_damage_vs_lost_t3,ephemeralsealt1,"('Ephemeral Seal', 1)"
house_housingitem_buff_damage_vs_lost_t3,house_housingitem_buff_damage_vs_lost_t2,"('Basic Lost Combat Trophy', 1)"
house_housingitem_buff_cooking_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_cooking_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_cooking_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_cooking_bonus_t3,chefssecretcookbookt1,"(""Chef's Secret Cookbook"", 1)"
house_housingitem_buff_cooking_bonus_t3,house_housingitem_buff_cooking_bonus_t2,"('Basic Cooking Crafting Trophy', 1)"
house_housingitem_buff_damage_vs_corrupted_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_damage_vs_corrupted_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_damage_vs_corrupted_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_damage_vs_corrupted_t3,corruptedtotemt1,"('Corrupted Totem', 1)"
house_housingitem_buff_damage_vs_corrupted_t3,house_housingitem_buff_damage_vs_corrupted_t2,"('Basic Corrupted Combat Trophy', 1)"
house_housingitem_buff_engineering_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_engineering_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_engineering_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_engineering_bonus_t3,precisionengineeringtoolst1,"('Precision Engineering Tools', 1)"
house_housingitem_buff_engineering_bonus_t3,house_housingitem_buff_engineering_bonus_t2,"('Basic Engineering Crafting Trophy', 1)"
house_housingitem_buff_mining_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_mining_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_mining_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_mining_bonus_t3,adamatinedustt1,"('Adamantine Dust', 1)"
house_housingitem_buff_mining_bonus_t3,house_housingitem_buff_mining_bonus_t2,"('Basic Mining Gathering Trophy', 1)"
house_housingitem_buff_skinning_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_skinning_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_skinning_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_skinning_bonus_t3,trackerssealt1,"(""Tracker's Seal"", 1)"
house_housingitem_buff_skinning_bonus_t3,house_housingitem_buff_skinning_bonus_t2,"('Basic Skinning Gathering Trophy', 1)"
mediumhead_voidbentt5,leathert51,"('Runic Leather', 12)"
mediumhead_voidbentt5,clotht51,"('Phoenixweave', 4)"
mediumhead_voidbentt5,ingott51,"('Asmodeum', 1)"
mediumhead_voidbentt5,clawt5,"('Infused Claw', 2)"
mediumhead_voidbentt5,voidbentingot,"('Voidbent Ingot', 1)"
mediumhead_voidbentt5,fangt4,"('Infused Fang', 4)"
mediumhead_voidbentt5,scarhidet1,"('Scarhide', 2)"
house_housingitem_buff_outfitting_bonus_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_outfitting_bonus_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_outfitting_bonus_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_outfitting_bonus_t3,precisionarmoringtoolst1,"('Precision Armoring Tools', 1)"
house_housingitem_buff_outfitting_bonus_t3,house_housingitem_buff_outfitting_bonus_t2,"('Basic Armoring Crafting Trophy', 1)"
heavyfeet_voidbentt5,ingott51,"('Asmodeum', 6)"
heavyfeet_voidbentt5,leathert51,"('Runic Leather', 2)"
heavyfeet_voidbentt5,clotht51,"('Phoenixweave', 1)"
heavyfeet_voidbentt5,furt5,"('Infused Fur', 2)"
heavyfeet_voidbentt5,voidbentingot,"('Voidbent Ingot', 1)"
heavyfeet_voidbentt5,tolviumt1,"('Tolvium', 4)"
heavyfeet_voidbentt5,cinnabart1,"('Cinnabar', 2)"
mediumchest_voidbentt5,leathert51,"('Runic Leather', 26)"
mediumchest_voidbentt5,clotht51,"('Phoenixweave', 8)"
mediumchest_voidbentt5,ingott51,"('Asmodeum', 1)"
mediumchest_voidbentt5,clawt5,"('Infused Claw', 2)"
mediumchest_voidbentt5,voidbentingot,"('Voidbent Ingot', 1)"
mediumchest_voidbentt5,fangt4,"('Infused Fang', 4)"
mediumchest_voidbentt5,scarhidet1,"('Scarhide', 2)"
trinket_chaint51,ingott51,"('Asmodeum', 8)"
trinket_settingt51,ingott51,"('Asmodeum', 4)"
1hlongsword_voidforgedharbingert5,ingott51,"('Asmodeum', 14)"
1hlongsword_voidforgedharbingert5,leathert51,"('Runic Leather', 8)"
1hlongsword_voidforgedharbingert5,timbert51,"('Glittering Ebony', 3)"
1hlongsword_voidforgedharbingert5,etchedhandguardt5,"('Etched Handguard', 1)"
1hlongsword_voidforgedharbingert5,tolviumt1,"('Tolvium', 4)"
1hlongsword_voidforgedharbingert5,scarhidet1,"('Scarhide', 2)"
2hwarhammer_yulkithirt5,ingott51,"('Asmodeum', 20)"
2hwarhammer_yulkithirt5,leathert51,"('Runic Leather', 15)"
2hwarhammer_yulkithirt5,timbert51,"('Glittering Ebony', 5)"
2hwarhammer_yulkithirt5,empoweredcounterbalancet5,"('Empowered Counterbalance', 1)"
2hwarhammer_yulkithirt5,scalingpowdert1,"('Scaling Powder', 1)"
2hwarhammer_yulkithirt5,tolviumt1,"('Tolvium', 4)"
2hwarhammer_yulkithirt5,scarhidet1,"('Scarhide', 2)"
2hgreataxe_darkskyt5,ingott51,"('Asmodeum', 20)"
2hgreataxe_darkskyt5,leathert51,"('Runic Leather', 15)"
2hgreataxe_darkskyt5,timbert51,"('Glittering Ebony', 5)"
2hgreataxe_darkskyt5,empoweredcounterbalancet5,"('Empowered Counterbalance', 1)"
2hgreataxe_darkskyt5,ancientbearingt1,"('Ancient Bearing', 1)"
2hgreataxe_darkskyt5,tolviumt1,"('Tolvium', 4)"
2hgreataxe_darkskyt5,scarhidet1,"('Scarhide', 2)"
1hrapier_voidbringersrapiert5,ingott51,"('Asmodeum', 14)"
1hrapier_voidbringersrapiert5,leathert51,"('Runic Leather', 8)"
1hrapier_voidbringersrapiert5,timbert51,"('Glittering Ebony', 3)"
1hrapier_voidbringersrapiert5,etchedhandguardt5,"('Etched Handguard', 1)"
1hrapier_voidbringersrapiert5,serpentinehandguardt1,"('Serpentine Handguard', 1)"
1hrapier_voidbringersrapiert5,cinnabart1,"('Cinnabar', 4)"
1hrapier_voidbringersrapiert5,smolderhidet1,"('Smolderhide', 2)"
1hroundshield_heroesshieldt5,ingott51,"('Asmodeum', 14)"
1hroundshield_heroesshieldt5,timbert51,"('Glittering Ebony', 8)"
1hroundshield_heroesshieldt5,leathert51,"('Runic Leather', 3)"
1hroundshield_heroesshieldt5,ingotprecioust3,"('Platinum Ingot', 1)"
1hroundshield_heroesshieldt5,emblemoffortitudet1,"('Emblem of Fortitude', 1)"
1hroundshield_heroesshieldt5,brightscalehidet1,"('Brightscale Hide', 4)"
1hroundshield_heroesshieldt5,smolderhidet1,"('Smolderhide', 2)"
house_housingitem_buff_damage_vs_angryearth_t3,timbert5,"('Ironwood Planks', 25)"
house_housingitem_buff_damage_vs_angryearth_t3,ingott5,"('Orichalcum Ingot', 20)"
house_housingitem_buff_damage_vs_angryearth_t3,woodstaint5,"('Mahogany Stain', 1)"
house_housingitem_buff_damage_vs_angryearth_t3,glowingsapt1,"('Glowing Sap', 1)"
house_housingitem_buff_damage_vs_angryearth_t3,house_housingitem_buff_damage_vs_angryearth_t2,"('Basic Angry Earth Combat Trophy', 1)"
1hkiteshield_heroicshieldt5,ingott51,"('Asmodeum', 14)"
1hkiteshield_heroicshieldt5,timbert51,"('Glittering Ebony', 8)"
1hkiteshield_heroicshieldt5,leathert51,"('Runic Leather', 3)"
1hkiteshield_heroicshieldt5,ingotprecioust3,"('Platinum Ingot', 1)"
1hkiteshield_heroicshieldt5,crestoffortitudet1,"('Crest of Fortitude', 1)"
1hkiteshield_heroicshieldt5,brightscalehidet1,"('Brightscale Hide', 4)"
1hkiteshield_heroicshieldt5,smolderhidet1,"('Smolderhide', 2)"
2hspear_soulforgedspeart5,ingott51,"('Asmodeum', 20)"
