Source,Target,Weight
house_housingitem_buff_fishing_bonus_t3,timbert5,25
house_housingitem_buff_fishing_bonus_t3,ingott5,20
house_housingitem_buff_fishing_bonus_t3,woodstaint5,1
house_housingitem_buff_fishing_bonus_t3,house_housingitem_fishing_veryrarefish_c1,1
house_housingitem_buff_fishing_bonus_t3,house_housingitem_buff_fishing_bonus_t2,1
house_housingitem_buff_harvesting_bonus_t3,timbert5,25
house_housingitem_buff_harvesting_bonus_t3,ingott5,20
house_housingitem_buff_harvesting_bonus_t3,woodstaint5,1
house_housingitem_buff_harvesting_bonus_t3,mercurialtokent1,1
house_housingitem_buff_harvesting_bonus_t3,house_housingitem_buff_harvesting_bonus_t2,1
house_housingitem_buff_logging_bonus_t3,timbert5,25
house_housingitem_buff_logging_bonus_t3,ingott5,20
house_housingitem_buff_logging_bonus_t3,woodstaint5,1
house_housingitem_buff_logging_bonus_t3,pureresint1,1
house_housingitem_buff_logging_bonus_t3,house_housingitem_buff_logging_bonus_t2,1
house_housingitem_buff_luck_bonus_t3,timbert5,25
house_housingitem_buff_luck_bonus_t3,ingott5,20
house_housingitem_buff_luck_bonus_t3,woodstaint5,1
house_housingitem_buff_luck_bonus_t3,loadeddicet1,1
house_housingitem_buff_luck_bonus_t3,house_housingitem_buff_luck_bonus_t2,1
house_housingitem_buff_damage_vs_lost_t3,timbert5,25
house_housingitem_buff_damage_vs_lost_t3,ingott5,20
house_housingitem_buff_damage_vs_lost_t3,woodstaint5,1
house_housingitem_buff_damage_vs_lost_t3,ephemeralsealt1,1
house_housingitem_buff_damage_vs_lost_t3,house_housingitem_buff_damage_vs_lost_t2,1
house_housingitem_buff_cooking_bonus_t3,timbert5,25
house_housingitem_buff_cooking_bonus_t3,ingott5,20
house_housingitem_buff_cooking_bonus_t3,woodstaint5,1
house_housingitem_buff_cooking_bonus_t3,chefssecretcookbookt1,1
house_housingitem_buff_cooking_bonus_t3,house_housingitem_buff_cooking_bonus_t2,1
house_housingitem_buff_damage_vs_corrupted_t3,timbert5,25
house_housingitem_buff_damage_vs_corrupted_t3,ingott5,20
house_housingitem_buff_damage_vs_corrupted_t3,woodstaint5,1
house_housingitem_buff_damage_vs_corrupted_t3,corruptedtotemt1,1
house_housingitem_buff_damage_vs_corrupted_t3,house_housingitem_buff_damage_vs_corrupted_t2,1
house_housingitem_buff_engineering_bonus_t3,timbert5,25
house_housingitem_buff_engineering_bonus_t3,ingott5,20
house_housingitem_buff_engineering_bonus_t3,woodstaint5,1
house_housingitem_buff_engineering_bonus_t3,precisionengineeringtoolst1,1
house_housingitem_buff_engineering_bonus_t3,house_housingitem_buff_engineering_bonus_t2,1
house_housingitem_buff_mining_bonus_t3,timbert5,25
house_housingitem_buff_mining_bonus_t3,ingott5,20
house_housingitem_buff_mining_bonus_t3,woodstaint5,1
house_housingitem_buff_mining_bonus_t3,adamatinedustt1,1
house_housingitem_buff_mining_bonus_t3,house_housingitem_buff_mining_bonus_t2,1
house_housingitem_buff_skinning_bonus_t3,timbert5,25
house_housingitem_buff_skinning_bonus_t3,ingott5,20
house_housingitem_buff_skinning_bonus_t3,woodstaint5,1
house_housingitem_buff_skinning_bonus_t3,trackerssealt1,1
house_housingitem_buff_skinning_bonus_t3,house_housingitem_buff_skinning_bonus_t2,1
mediumhead_voidbentt5,leathert51,12
mediumhead_voidbentt5,clotht51,4
mediumhead_voidbentt5,ingott51,1
mediumhead_voidbentt5,clawt5,2
mediumhead_voidbentt5,voidbentingot,1
mediumhead_voidbentt5,fangt4,4
mediumhead_voidbentt5,scarhidet1,2
house_housingitem_buff_outfitting_bonus_t3,timbert5,25
house_housingitem_buff_outfitting_bonus_t3,ingott5,20
house_housingitem_buff_outfitting_bonus_t3,woodstaint5,1
house_housingitem_buff_outfitting_bonus_t3,precisionarmoringtoolst1,1
house_housingitem_buff_outfitting_bonus_t3,house_housingitem_buff_outfitting_bonus_t2,1
heavyfeet_voidbentt5,ingott51,6
heavyfeet_voidbentt5,leathert51,2
heavyfeet_voidbentt5,clotht51,1
heavyfeet_voidbentt5,furt5,2
heavyfeet_voidbentt5,voidbentingot,1
heavyfeet_voidbentt5,tolviumt1,4
heavyfeet_voidbentt5,cinnabart1,2
mediumchest_voidbentt5,leathert51,26
mediumchest_voidbentt5,clotht51,8
mediumchest_voidbentt5,ingott51,1
mediumchest_voidbentt5,clawt5,2
mediumchest_voidbentt5,voidbentingot,1
mediumchest_voidbentt5,fangt4,4
mediumchest_voidbentt5,scarhidet1,2
trinket_chaint51,ingott51,8
trinket_settingt51,ingott51,4
1hlongsword_voidforgedharbingert5,ingott51,14
1hlongsword_voidforgedharbingert5,leathert51,8
1hlongsword_voidforgedharbingert5,timbert51,3
1hlongsword_voidforgedharbingert5,etchedhandguardt5,1
1hlongsword_voidforgedharbingert5,tolviumt1,4
1hlongsword_voidforgedharbingert5,scarhidet1,2
2hwarhammer_yulkithirt5,ingott51,20
2hwarhammer_yulkithirt5,leathert51,15
2hwarhammer_yulkithirt5,timbert51,5
2hwarhammer_yulkithirt5,empoweredcounterbalancet5,1
2hwarhammer_yulkithirt5,scalingpowdert1,1
2hwarhammer_yulkithirt5,tolviumt1,4
2hwarhammer_yulkithirt5,scarhidet1,2
2hgreataxe_darkskyt5,ingott51,20
2hgreataxe_darkskyt5,leathert51,15
2hgreataxe_darkskyt5,timbert51,5
2hgreataxe_darkskyt5,empoweredcounterbalancet5,1
2hgreataxe_darkskyt5,ancientbearingt1,1
2hgreataxe_darkskyt5,tolviumt1,4
2hgreataxe_darkskyt5,scarhidet1,2
1hrapier_voidbringersrapiert5,ingott51,14
1hrapier_voidbringersrapiert5,leathert51,8
1hrapier_voidbringersrapiert5,timbert51,3
1hrapier_voidbringersrapiert5,etchedhandguardt5,1
1hrapier_voidbringersrapiert5,serpentinehandguardt1,1
1hrapier_voidbringersrapiert5,cinnabart1,4
1hrapier_voidbringersrapiert5,smolderhidet1,2
1hroundshield_heroesshieldt5,ingott51,14
1hroundshield_heroesshieldt5,timbert51,8
1hroundshield_heroesshieldt5,leathert51,3
1hroundshield_heroesshieldt5,ingotprecioust3,1
1hroundshield_heroesshieldt5,emblemoffortitudet1,1
1hroundshield_heroesshieldt5,brightscalehidet1,4
1hroundshield_heroesshieldt5,smolderhidet1,2
house_housingitem_buff_damage_vs_angryearth_t3,timbert5,25
house_housingitem_buff_damage_vs_angryearth_t3,ingott5,20
house_housingitem_buff_damage_vs_angryearth_t3,woodstaint5,1
house_housingitem_buff_damage_vs_angryearth_t3,glowingsapt1,1
house_housingitem_buff_damage_vs_angryearth_t3,house_housingitem_buff_damage_vs_angryearth_t2,1
1hkiteshield_heroicshieldt5,ingott51,14
1hkiteshield_heroicshieldt5,timbert51,8
1hkiteshield_heroicshieldt5,leathert51,3
1hkiteshield_heroicshieldt5,ingotprecioust3,1
1hkiteshield_heroicshieldt5,crestoffortitudet1,1
1hkiteshield_heroicshieldt5,brightscalehidet1,4
1hkiteshield_heroicshieldt5,smolderhidet1,2
2hspear_soulforgedspeart5,ingott51,20
2hspear_soulforgedspeart5,timbert51,15
2hspear_soulforgedspeart5,leathert51,5
2hspear_soulforgedspeart5,embossedwrappingt5,1
2hspear_soulforgedspeart5,witheredbought1,1
2hspear_soulforgedspeart5,tolviumt1,4
2hspear_soulforgedspeart5,smolderhidet1,2
2hbow_warpwoodt5,timbert51,20
2hbow_warpwoodt5,clotht51,15
2hbow_warpwoodt5,leathert51,5
2hbow_warpwoodt5,enchantedbowstringt5,1
2hbow_warpwoodt5,splinteredbowt1,1
2hbow_warpwoodt5,wildwoodt1,4
2hbow_warpwoodt5,blisterweavet1,2
2hmusket_musketofunseenpowert5,ingott51,20
2hmusket_musketofunseenpowert5,timbert51,15
2hmusket_musketofunseenpowert5,leathert51,5
2hmusket_musketofunseenpowert5,intricatelockt5,1
2hmusket_musketofunseenpowert5,fragmentedmuskett1,1
2hmusket_musketofunseenpowert5,tolviumt1,4
2hmusket_musketofunseenpowert5,smolderhidet1,2
house_housingitem_buff_damage_vs_beasts_t3,timbert5,25
house_housingitem_buff_damage_vs_beasts_t3,ingott5,20
house_housingitem_buff_damage_vs_beasts_t3,woodstaint5,1
house_housingitem_buff_damage_vs_beasts_t3,pristinebearclawt1,1
house_housingitem_buff_damage_vs_beasts_t3,house_housingitem_buff_damage_vs_beasts_t2,1
1hthrowingaxe_axeoftheabysst5,ingott51,14
1hthrowingaxe_axeoftheabysst5,leathert51,8
1hthrowingaxe_axeoftheabysst5,timbert51,3
1hthrowingaxe_axeoftheabysst5,embossedwrappingt5,1
1hthrowingaxe_axeoftheabysst5,brokenhatchett1,1
1hthrowingaxe_axeoftheabysst5,smolderhidet1,2
heavyfeet_furlinedt5,Tier 5 Metals,6
heavyfeet_furlinedt5,Leathers,2
heavyfeet_furlinedt5,Cloth,1
mediumfeet_beasthuntert5,Tier 5 Leather,6
mediumfeet_beasthuntert5,Cloth,2
mediumfeet_beasthuntert5,Metals,1
lightfeet_shadewalkert5,Tier 5 Cloth,6
lightfeet_shadewalkert5,Leathers,2
lightfeet_shadewalkert5,Metals,1
heavyhead_voidbentt5,ingott51,10
heavyhead_voidbentt5,leathert51,4
heavyhead_voidbentt5,clotht51,4
